servicio,origen,destino,distancia_km,fuente_hoja
BIOTREN,Hualqui,Hualqui,0.0,PAX KM BT
BIOTREN,Hualqui,La Leonera,8.8,PAX KM BT
BIOTREN,Hualqui,Manquimávida,10.3,PAX KM BT
BIOTREN,Hualqui,Pedro Medina,12.3,PAX KM BT
BIOTREN,Hualqui,Chiguayante,13.4,PAX KM BT
BIOTREN,Hualqui,Concepción,23.5,PAX KM BT
BIOTREN,Hualqui,Concepcion Centro,23.5,PAX KM BT
BIOTREN,Hualqui,Lorenzo Arenas,26.5,PAX KM BT
BIOTREN,Hualqui,UTFSM,29.4,PAX KM BT
BIOTREN,Hualqui,Los Cóndores,31.4,PAX KM BT
BIOTREN,Hualqui,Higueras,33.4,PAX KM BT
BIOTREN,Hualqui,El Arenal,36.6,PAX KM BT
BIOTREN,Hualqui,Mercado,38.0,PAX KM BT
BIOTREN,Hualqui,Juan Pablo II,26.5,PAX KM BT
BIOTREN,Hualqui,Diagonal Biobío,28.5,PAX KM BT
BIOTREN,Hualqui,Alborada,30.7,PAX KM BT
BIOTREN,Hualqui,Costa Mar,31.5,PAX KM BT
BIOTREN,Hualqui,El Parque,33.15,PAX KM BT
BIOTREN,Hualqui,Lomas Coloradas,34.8,PAX KM BT
BIOTREN,Hualqui,C. Raúl Silva H.,36.775,PAX KM BT
BIOTREN,Hualqui,Hito Galvarino,43.055,PAX KM BT
BIOTREN,Hualqui,Los Canelos,46.015,PAX KM BT
BIOTREN,Hualqui,Huinca,46.88,PAX KM BT
BIOTREN,Hualqui,Cristo Redentor,48.05,PAX KM BT
BIOTREN,Hualqui,Laguna Quiñenco,49.64,PAX KM BT
BIOTREN,Hualqui,Intermodal Coronel,50.78,PAX KM BT
BIOTREN,Hualqui,Pasajero Lota,50.78,PAX KM BT
BIOTREN,La Leonera,Hualqui,8.8,PAX KM BT
BIOTREN,La Leonera,La Leonera,0.0,PAX KM BT
BIOTREN,La Leonera,Manquimávida,1.5,PAX KM BT
BIOTREN,La Leonera,Pedro Medina,4.4,PAX KM BT
BIOTREN,La Leonera,Chiguayante,5.5,PAX KM BT
BIOTREN,La Leonera,Concepción,15.6,PAX KM BT
BIOTREN,La Leonera,Concepcion Centro,15.6,PAX KM BT
BIOTREN,La Leonera,Lorenzo Arenas,18.6,PAX KM BT
BIOTREN,La Leonera,UTFSM,21.5,PAX KM BT
BIOTREN,La Leonera,Los Cóndores,23.5,PAX KM BT
BIOTREN,La Leonera,Higueras,25.5,PAX KM BT
BIOTREN,La Leonera,El Arenal,28.7,PAX KM BT
BIOTREN,La Leonera,Mercado,30.1,PAX KM BT
BIOTREN,La Leonera,Juan Pablo II,18.6,PAX KM BT
BIOTREN,La Leonera,Diagonal Biobío,20.6,PAX KM BT
BIOTREN,La Leonera,Alborada,22.8,PAX KM BT
BIOTREN,La Leonera,Costa Mar,23.6,PAX KM BT
BIOTREN,La Leonera,El Parque,25.25,PAX KM BT
BIOTREN,La Leonera,Lomas Coloradas,26.9,PAX KM BT
BIOTREN,La Leonera,C. Raúl Silva H.,28.875,PAX KM BT
BIOTREN,La Leonera,Hito Galvarino,35.155,PAX KM BT
BIOTREN,La Leonera,Los Canelos,38.115,PAX KM BT
BIOTREN,La Leonera,Huinca,38.98,PAX KM BT
BIOTREN,La Leonera,Cristo Redentor,40.15,PAX KM BT
BIOTREN,La Leonera,Laguna Quiñenco,41.74,PAX KM BT
BIOTREN,La Leonera,Intermodal Coronel,42.88,PAX KM BT
BIOTREN,La Leonera,Pasajero Lota,42.88,PAX KM BT
BIOTREN,Manquimávida,Hualqui,10.3,PAX KM BT
BIOTREN,Manquimávida,La Leonera,1.5,PAX KM BT
BIOTREN,Manquimávida,Manquimávida,0.0,PAX KM BT
BIOTREN,Manquimávida,Pedro Medina,1.8,PAX KM BT
BIOTREN,Manquimávida,Chiguayante,3.1,PAX KM BT
BIOTREN,Manquimávida,Concepción,13.2,PAX KM BT
BIOTREN,Manquimávida,Concepcion Centro,13.2,PAX KM BT
BIOTREN,Manquimávida,Lorenzo Arenas,16.2,PAX KM BT
BIOTREN,Manquimávida,UTFSM,19.1,PAX KM BT
BIOTREN,Manquimávida,Los Cóndores,21.1,PAX KM BT
BIOTREN,Manquimávida,Higueras,23.1,PAX KM BT
BIOTREN,Manquimávida,El Arenal,26.3,PAX KM BT
BIOTREN,Manquimávida,Mercado,27.7,PAX KM BT
BIOTREN,Manquimávida,Juan Pablo II,16.2,PAX KM BT
BIOTREN,Manquimávida,Diagonal Biobío,18.2,PAX KM BT
BIOTREN,Manquimávida,Alborada,20.4,PAX KM BT
BIOTREN,Manquimávida,Costa Mar,21.2,PAX KM BT
BIOTREN,Manquimávida,El Parque,22.85,PAX KM BT
BIOTREN,Manquimávida,Lomas Coloradas,24.5,PAX KM BT
BIOTREN,Manquimávida,C. Raúl Silva H.,26.475,PAX KM BT
BIOTREN,Manquimávida,Hito Galvarino,32.755,PAX KM BT
BIOTREN,Manquimávida,Los Canelos,35.715,PAX KM BT
BIOTREN,Manquimávida,Huinca,36.58,PAX KM BT
BIOTREN,Manquimávida,Cristo Redentor,37.75,PAX KM BT
BIOTREN,Manquimávida,Laguna Quiñenco,39.34,PAX KM BT
BIOTREN,Manquimávida,Intermodal Coronel,40.48,PAX KM BT
BIOTREN,Manquimávida,Pasajero Lota,40.48,PAX KM BT
BIOTREN,Pedro Medina,Hualqui,12.3,PAX KM BT
BIOTREN,Pedro Medina,La Leonera,4.4,PAX KM BT
BIOTREN,Pedro Medina,Manquimávida,1.8,PAX KM BT
BIOTREN,Pedro Medina,Pedro Medina,0.0,PAX KM BT
BIOTREN,Pedro Medina,Chiguayante,1.4,PAX KM BT
BIOTREN,Pedro Medina,Concepción,11.5,PAX KM BT
BIOTREN,Pedro Medina,Concepcion Centro,11.5,PAX KM BT
BIOTREN,Pedro Medina,Lorenzo Arenas,14.5,PAX KM BT
BIOTREN,Pedro Medina,UTFSM,17.4,PAX KM BT
BIOTREN,Pedro Medina,Los Cóndores,19.4,PAX KM BT
BIOTREN,Pedro Medina,Higueras,21.4,PAX KM BT
BIOTREN,Pedro Medina,El Arenal,24.6,PAX KM BT
BIOTREN,Pedro Medina,Mercado,26.0,PAX KM BT
BIOTREN,Pedro Medina,Juan Pablo II,14.5,PAX KM BT
BIOTREN,Pedro Medina,Diagonal Biobío,16.5,PAX KM BT
BIOTREN,Pedro Medina,Alborada,18.7,PAX KM BT
BIOTREN,Pedro Medina,Costa Mar,19.5,PAX KM BT
BIOTREN,Pedro Medina,El Parque,21.15,PAX KM BT
BIOTREN,Pedro Medina,Lomas Coloradas,22.8,PAX KM BT
BIOTREN,Pedro Medina,C. Raúl Silva H.,24.775,PAX KM BT
BIOTREN,Pedro Medina,Hito Galvarino,31.055,PAX KM BT
BIOTREN,Pedro Medina,Los Canelos,34.015,PAX KM BT
BIOTREN,Pedro Medina,Huinca,34.88,PAX KM BT
BIOTREN,Pedro Medina,Cristo Redentor,36.05,PAX KM BT
BIOTREN,Pedro Medina,Laguna Quiñenco,37.64,PAX KM BT
BIOTREN,Pedro Medina,Intermodal Coronel,38.78,PAX KM BT
BIOTREN,Pedro Medina,Pasajero Lota,38.78,PAX KM BT
BIOTREN,Chiguayante,Hualqui,13.4,PAX KM BT
BIOTREN,Chiguayante,La Leonera,5.5,PAX KM BT
BIOTREN,Chiguayante,Manquimávida,3.1,PAX KM BT
BIOTREN,Chiguayante,Pedro Medina,1.4,PAX KM BT
BIOTREN,Chiguayante,Chiguayante,0.0,PAX KM BT
BIOTREN,Chiguayante,Concepción,10.1,PAX KM BT
BIOTREN,Chiguayante,Concepcion Centro,10.1,PAX KM BT
BIOTREN,Chiguayante,Lorenzo Arenas,13.1,PAX KM BT
BIOTREN,Chiguayante,UTFSM,16.0,PAX KM BT
BIOTREN,Chiguayante,Los Cóndores,18.0,PAX KM BT
BIOTREN,Chiguayante,Higueras,20.0,PAX KM BT
BIOTREN,Chiguayante,El Arenal,23.3,PAX KM BT
BIOTREN,Chiguayante,Mercado,24.7,PAX KM BT
BIOTREN,Chiguayante,Juan Pablo II,13.1,PAX KM BT
BIOTREN,Chiguayante,Diagonal Biobío,15.1,PAX KM BT
BIOTREN,Chiguayante,Alborada,17.3,PAX KM BT
BIOTREN,Chiguayante,Costa Mar,18.1,PAX KM BT
BIOTREN,Chiguayante,El Parque,19.75,PAX KM BT
BIOTREN,Chiguayante,Lomas Coloradas,21.4,PAX KM BT
BIOTREN,Chiguayante,C. Raúl Silva H.,23.375,PAX KM BT
BIOTREN,Chiguayante,Hito Galvarino,29.655,PAX KM BT
BIOTREN,Chiguayante,Los Canelos,32.615,PAX KM BT
BIOTREN,Chiguayante,Huinca,33.48,PAX KM BT
BIOTREN,Chiguayante,Cristo Redentor,34.65,PAX KM BT
BIOTREN,Chiguayante,Laguna Quiñenco,36.24,PAX KM BT
BIOTREN,Chiguayante,Intermodal Coronel,37.38,PAX KM BT
BIOTREN,Chiguayante,Pasajero Lota,37.38,PAX KM BT
BIOTREN,Concepción,Hualqui,23.5,PAX KM BT
BIOTREN,Concepción,La Leonera,15.6,PAX KM BT
BIOTREN,Concepción,Manquimávida,13.2,PAX KM BT
BIOTREN,Concepción,Pedro Medina,11.5,PAX KM BT
BIOTREN,Concepción,Chiguayante,10.1,PAX KM BT
BIOTREN,Concepción,Concepción,0.0,PAX KM BT
BIOTREN,Concepción,Concepcion Centro,0.0,PAX KM BT
BIOTREN,Concepción,Lorenzo Arenas,3.0,PAX KM BT
BIOTREN,Concepción,UTFSM,5.9,PAX KM BT
BIOTREN,Concepción,Los Cóndores,7.9,PAX KM BT
BIOTREN,Concepción,Higueras,9.9,PAX KM BT
BIOTREN,Concepción,El Arenal,13.1,PAX KM BT
BIOTREN,Concepción,Mercado,14.5,PAX KM BT
BIOTREN,Concepción,Juan Pablo II,3.0,PAX KM BT
BIOTREN,Concepción,Diagonal Biobío,5.0,PAX KM BT
BIOTREN,Concepción,Alborada,7.2,PAX KM BT
BIOTREN,Concepción,Costa Mar,8.0,PAX KM BT
BIOTREN,Concepción,El Parque,9.65,PAX KM BT
BIOTREN,Concepción,Lomas Coloradas,11.3,PAX KM BT
BIOTREN,Concepción,C. Raúl Silva H.,13.275,PAX KM BT
BIOTREN,Concepción,Hito Galvarino,19.555,PAX KM BT
BIOTREN,Concepción,Los Canelos,22.515,PAX KM BT
BIOTREN,Concepción,Huinca,23.38,PAX KM BT
BIOTREN,Concepción,Cristo Redentor,24.55,PAX KM BT
BIOTREN,Concepción,Laguna Quiñenco,26.14,PAX KM BT
BIOTREN,Concepción,Intermodal Coronel,27.28,PAX KM BT
BIOTREN,Concepción,Pasajero Lota,27.28,PAX KM BT
BIOTREN,Concepcion Centro,Hualqui,23.5,PAX KM BT
BIOTREN,Concepcion Centro,La Leonera,15.6,PAX KM BT
BIOTREN,Concepcion Centro,Manquimávida,13.2,PAX KM BT
BIOTREN,Concepcion Centro,Pedro Medina,11.5,PAX KM BT
BIOTREN,Concepcion Centro,Chiguayante,10.1,PAX KM BT
BIOTREN,Concepcion Centro,Concepción,0.0,PAX KM BT
BIOTREN,Concepcion Centro,Concepcion Centro,0.0,PAX KM BT
BIOTREN,Concepcion Centro,Lorenzo Arenas,3.0,PAX KM BT
BIOTREN,Concepcion Centro,UTFSM,5.9,PAX KM BT
BIOTREN,Concepcion Centro,Los Cóndores,7.9,PAX KM BT
BIOTREN,Concepcion Centro,Higueras,9.9,PAX KM BT
BIOTREN,Concepcion Centro,El Arenal,13.1,PAX KM BT
BIOTREN,Concepcion Centro,Mercado,14.5,PAX KM BT
BIOTREN,Concepcion Centro,Juan Pablo II,3.0,PAX KM BT
BIOTREN,Concepcion Centro,Diagonal Biobío,5.0,PAX KM BT
BIOTREN,Concepcion Centro,Alborada,7.2,PAX KM BT
BIOTREN,Concepcion Centro,Costa Mar,8.0,PAX KM BT
BIOTREN,Concepcion Centro,El Parque,9.65,PAX KM BT
BIOTREN,Concepcion Centro,Lomas Coloradas,11.3,PAX KM BT
BIOTREN,Concepcion Centro,C. Raúl Silva H.,13.275,PAX KM BT
BIOTREN,Concepcion Centro,Hito Galvarino,19.555,PAX KM BT
BIOTREN,Concepcion Centro,Los Canelos,22.515,PAX KM BT
BIOTREN,Concepcion Centro,Huinca,23.38,PAX KM BT
BIOTREN,Concepcion Centro,Cristo Redentor,24.55,PAX KM BT
BIOTREN,Concepcion Centro,Laguna Quiñenco,26.14,PAX KM BT
BIOTREN,Concepcion Centro,Intermodal Coronel,27.28,PAX KM BT
BIOTREN,Concepcion Centro,Pasajero Lota,27.28,PAX KM BT
BIOTREN,Lorenzo Arenas,Hualqui,26.5,PAX KM BT
BIOTREN,Lorenzo Arenas,La Leonera,18.6,PAX KM BT
BIOTREN,Lorenzo Arenas,Manquimávida,16.2,PAX KM BT
BIOTREN,Lorenzo Arenas,Pedro Medina,14.5,PAX KM BT
BIOTREN,Lorenzo Arenas,Chiguayante,13.1,PAX KM BT
BIOTREN,Lorenzo Arenas,Concepción,3.0,PAX KM BT
BIOTREN,Lorenzo Arenas,Concepcion Centro,3.0,PAX KM BT
BIOTREN,Lorenzo Arenas,Lorenzo Arenas,0.0,PAX KM BT
BIOTREN,Lorenzo Arenas,UTFSM,2.9,PAX KM BT
BIOTREN,Lorenzo Arenas,Los Cóndores,4.9,PAX KM BT
BIOTREN,Lorenzo Arenas,Higueras,6.9,PAX KM BT
BIOTREN,Lorenzo Arenas,El Arenal,10.1,PAX KM BT
BIOTREN,Lorenzo Arenas,Mercado,11.5,PAX KM BT
BIOTREN,Lorenzo Arenas,Juan Pablo II,6.0,PAX KM BT
BIOTREN,Lorenzo Arenas,Diagonal Biobío,8.0,PAX KM BT
BIOTREN,Lorenzo Arenas,Alborada,10.2,PAX KM BT
BIOTREN,Lorenzo Arenas,Costa Mar,11.0,PAX KM BT
BIOTREN,Lorenzo Arenas,El Parque,12.65,PAX KM BT
BIOTREN,Lorenzo Arenas,Lomas Coloradas,14.3,PAX KM BT
BIOTREN,Lorenzo Arenas,C. Raúl Silva H.,16.275,PAX KM BT
BIOTREN,Lorenzo Arenas,Hito Galvarino,22.555,PAX KM BT
BIOTREN,Lorenzo Arenas,Los Canelos,25.515,PAX KM BT
BIOTREN,Lorenzo Arenas,Huinca,26.38,PAX KM BT
BIOTREN,Lorenzo Arenas,Cristo Redentor,27.55,PAX KM BT
BIOTREN,Lorenzo Arenas,Laguna Quiñenco,29.14,PAX KM BT
BIOTREN,Lorenzo Arenas,Intermodal Coronel,30.28,PAX KM BT
BIOTREN,Lorenzo Arenas,Pasajero Lota,30.28,PAX KM BT
BIOTREN,UTFSM,Hualqui,29.4,PAX KM BT
BIOTREN,UTFSM,La Leonera,21.5,PAX KM BT
BIOTREN,UTFSM,Manquimávida,19.1,PAX KM BT
BIOTREN,UTFSM,Pedro Medina,17.4,PAX KM BT
BIOTREN,UTFSM,Chiguayante,16.0,PAX KM BT
BIOTREN,UTFSM,Concepción,5.9,PAX KM BT
BIOTREN,UTFSM,Concepcion Centro,5.9,PAX KM BT
BIOTREN,UTFSM,Lorenzo Arenas,2.9,PAX KM BT
BIOTREN,UTFSM,UTFSM,0.0,PAX KM BT
BIOTREN,UTFSM,Los Cóndores,2.0,PAX KM BT
BIOTREN,UTFSM,Higueras,4.0,PAX KM BT
BIOTREN,UTFSM,El Arenal,7.2,PAX KM BT
BIOTREN,UTFSM,Mercado,8.6,PAX KM BT
BIOTREN,UTFSM,Juan Pablo II,8.9,PAX KM BT
BIOTREN,UTFSM,Diagonal Biobío,10.9,PAX KM BT
BIOTREN,UTFSM,Alborada,13.1,PAX KM BT
BIOTREN,UTFSM,Costa Mar,13.9,PAX KM BT
BIOTREN,UTFSM,El Parque,15.55,PAX KM BT
BIOTREN,UTFSM,Lomas Coloradas,17.2,PAX KM BT
BIOTREN,UTFSM,C. Raúl Silva H.,19.175,PAX KM BT
BIOTREN,UTFSM,Hito Galvarino,25.455,PAX KM BT
BIOTREN,UTFSM,Los Canelos,28.415,PAX KM BT
BIOTREN,UTFSM,Huinca,29.28,PAX KM BT
BIOTREN,UTFSM,Cristo Redentor,30.45,PAX KM BT
BIOTREN,UTFSM,Laguna Quiñenco,32.04,PAX KM BT
BIOTREN,UTFSM,Intermodal Coronel,33.18,PAX KM BT
BIOTREN,UTFSM,Pasajero Lota,33.18,PAX KM BT
BIOTREN,Los Cóndores,Hualqui,31.4,PAX KM BT
BIOTREN,Los Cóndores,La Leonera,23.5,PAX KM BT
BIOTREN,Los Cóndores,Manquimávida,21.1,PAX KM BT
BIOTREN,Los Cóndores,Pedro Medina,19.4,PAX KM BT
BIOTREN,Los Cóndores,Chiguayante,18.0,PAX KM BT
BIOTREN,Los Cóndores,Concepción,7.9,PAX KM BT
BIOTREN,Los Cóndores,Concepcion Centro,7.9,PAX KM BT
BIOTREN,Los Cóndores,Lorenzo Arenas,4.9,PAX KM BT
BIOTREN,Los Cóndores,UTFSM,2.0,PAX KM BT
BIOTREN,Los Cóndores,Los Cóndores,0.0,PAX KM BT
BIOTREN,Los Cóndores,Higueras,2.0,PAX KM BT
BIOTREN,Los Cóndores,El Arenal,5.2,PAX KM BT
BIOTREN,Los Cóndores,Mercado,6.6,PAX KM BT
BIOTREN,Los Cóndores,Juan Pablo II,10.9,PAX KM BT
BIOTREN,Los Cóndores,Diagonal Biobío,12.9,PAX KM BT
BIOTREN,Los Cóndores,Alborada,15.1,PAX KM BT
BIOTREN,Los Cóndores,Costa Mar,15.9,PAX KM BT
BIOTREN,Los Cóndores,El Parque,17.55,PAX KM BT
BIOTREN,Los Cóndores,Lomas Coloradas,19.2,PAX KM BT
BIOTREN,Los Cóndores,C. Raúl Silva H.,21.175,PAX KM BT
BIOTREN,Los Cóndores,Hito Galvarino,27.455,PAX KM BT
BIOTREN,Los Cóndores,Los Canelos,30.415,PAX KM BT
BIOTREN,Los Cóndores,Huinca,31.28,PAX KM BT
BIOTREN,Los Cóndores,Cristo Redentor,32.45,PAX KM BT
BIOTREN,Los Cóndores,Laguna Quiñenco,34.04,PAX KM BT
BIOTREN,Los Cóndores,Intermodal Coronel,35.18,PAX KM BT
BIOTREN,Los Cóndores,Pasajero Lota,35.18,PAX KM BT
BIOTREN,Higueras,Hualqui,33.4,PAX KM BT
BIOTREN,Higueras,La Leonera,25.5,PAX KM BT
BIOTREN,Higueras,Manquimávida,23.1,PAX KM BT
BIOTREN,Higueras,Pedro Medina,21.4,PAX KM BT
BIOTREN,Higueras,Chiguayante,20.0,PAX KM BT
BIOTREN,Higueras,Concepción,9.9,PAX KM BT
BIOTREN,Higueras,Concepcion Centro,9.9,PAX KM BT
BIOTREN,Higueras,Lorenzo Arenas,6.9,PAX KM BT
BIOTREN,Higueras,UTFSM,4.0,PAX KM BT
BIOTREN,Higueras,Los Cóndores,2.0,PAX KM BT
BIOTREN,Higueras,Higueras,0.0,PAX KM BT
BIOTREN,Higueras,El Arenal,3.2,PAX KM BT
BIOTREN,Higueras,Mercado,4.6,PAX KM BT
BIOTREN,Higueras,Juan Pablo II,12.9,PAX KM BT
BIOTREN,Higueras,Diagonal Biobío,14.9,PAX KM BT
BIOTREN,Higueras,Alborada,17.1,PAX KM BT
BIOTREN,Higueras,Costa Mar,17.9,PAX KM BT
BIOTREN,Higueras,El Parque,19.55,PAX KM BT
BIOTREN,Higueras,Lomas Coloradas,21.2,PAX KM BT
BIOTREN,Higueras,C. Raúl Silva H.,23.175,PAX KM BT
BIOTREN,Higueras,Hito Galvarino,29.455,PAX KM BT
BIOTREN,Higueras,Los Canelos,32.415,PAX KM BT
BIOTREN,Higueras,Huinca,33.28,PAX KM BT
BIOTREN,Higueras,Cristo Redentor,34.45,PAX KM BT
BIOTREN,Higueras,Laguna Quiñenco,36.04,PAX KM BT
BIOTREN,Higueras,Intermodal Coronel,37.18,PAX KM BT
BIOTREN,Higueras,Pasajero Lota,37.18,PAX KM BT
BIOTREN,El Arenal,Hualqui,36.6,PAX KM BT
BIOTREN,El Arenal,La Leonera,28.7,PAX KM BT
BIOTREN,El Arenal,Manquimávida,26.3,PAX KM BT
BIOTREN,El Arenal,Pedro Medina,24.6,PAX KM BT
BIOTREN,El Arenal,Chiguayante,23.3,PAX KM BT
BIOTREN,El Arenal,Concepción,13.1,PAX KM BT
BIOTREN,El Arenal,Concepcion Centro,13.1,PAX KM BT
BIOTREN,El Arenal,Lorenzo Arenas,10.1,PAX KM BT
BIOTREN,El Arenal,UTFSM,7.2,PAX KM BT
BIOTREN,El Arenal,Los Cóndores,5.2,PAX KM BT
BIOTREN,El Arenal,Higueras,3.2,PAX KM BT
BIOTREN,El Arenal,El Arenal,0.0,PAX KM BT
BIOTREN,El Arenal,Mercado,1.4,PAX KM BT
BIOTREN,El Arenal,Juan Pablo II,16.1,PAX KM BT
BIOTREN,El Arenal,Diagonal Biobío,18.1,PAX KM BT
BIOTREN,El Arenal,Alborada,20.3,PAX KM BT
BIOTREN,El Arenal,Costa Mar,21.1,PAX KM BT
BIOTREN,El Arenal,El Parque,22.75,PAX KM BT
BIOTREN,El Arenal,Lomas Coloradas,24.4,PAX KM BT
BIOTREN,El Arenal,C. Raúl Silva H.,26.375,PAX KM BT
BIOTREN,El Arenal,Hito Galvarino,32.655,PAX KM BT
BIOTREN,El Arenal,Los Canelos,35.615,PAX KM BT
BIOTREN,El Arenal,Huinca,36.48,PAX KM BT
BIOTREN,El Arenal,Cristo Redentor,37.65,PAX KM BT
BIOTREN,El Arenal,Laguna Quiñenco,39.24,PAX KM BT
BIOTREN,El Arenal,Intermodal Coronel,40.38,PAX KM BT
BIOTREN,El Arenal,Pasajero Lota,40.38,PAX KM BT
BIOTREN,Mercado,Hualqui,38.0,PAX KM BT
BIOTREN,Mercado,La Leonera,30.1,PAX KM BT
BIOTREN,Mercado,Manquimávida,27.7,PAX KM BT
BIOTREN,Mercado,Pedro Medina,26.0,PAX KM BT
BIOTREN,Mercado,Chiguayante,24.7,PAX KM BT
BIOTREN,Mercado,Concepción,14.5,PAX KM BT
BIOTREN,Mercado,Concepcion Centro,14.5,PAX KM BT
BIOTREN,Mercado,Lorenzo Arenas,11.5,PAX KM BT
BIOTREN,Mercado,UTFSM,8.6,PAX KM BT
BIOTREN,Mercado,Los Cóndores,6.6,PAX KM BT
BIOTREN,Mercado,Higueras,4.6,PAX KM BT
BIOTREN,Mercado,El Arenal,1.4,PAX KM BT
BIOTREN,Mercado,Mercado,0.0,PAX KM BT
BIOTREN,Mercado,Juan Pablo II,17.5,PAX KM BT
BIOTREN,Mercado,Diagonal Biobío,19.5,PAX KM BT
BIOTREN,Mercado,Alborada,21.7,PAX KM BT
BIOTREN,Mercado,Costa Mar,22.5,PAX KM BT
BIOTREN,Mercado,El Parque,24.15,PAX KM BT
BIOTREN,Mercado,Lomas Coloradas,25.8,PAX KM BT
BIOTREN,Mercado,C. Raúl Silva H.,27.775,PAX KM BT
BIOTREN,Mercado,Hito Galvarino,34.055,PAX KM BT
BIOTREN,Mercado,Los Canelos,37.015,PAX KM BT
BIOTREN,Mercado,Huinca,37.88,PAX KM BT
BIOTREN,Mercado,Cristo Redentor,39.05,PAX KM BT
BIOTREN,Mercado,Laguna Quiñenco,40.64,PAX KM BT
BIOTREN,Mercado,Intermodal Coronel,41.78,PAX KM BT
BIOTREN,Mercado,Pasajero Lota,41.78,PAX KM BT
BIOTREN,Juan Pablo II,Hualqui,26.5,PAX KM BT
BIOTREN,Juan Pablo II,La Leonera,18.6,PAX KM BT
BIOTREN,Juan Pablo II,Manquimávida,16.2,PAX KM BT
BIOTREN,Juan Pablo II,Pedro Medina,14.5,PAX KM BT
BIOTREN,Juan Pablo II,Chiguayante,13.1,PAX KM BT
BIOTREN,Juan Pablo II,Concepción,3.0,PAX KM BT
BIOTREN,Juan Pablo II,Concepcion Centro,3.0,PAX KM BT
BIOTREN,Juan Pablo II,Lorenzo Arenas,6.0,PAX KM BT
