archivo,hoja,anio,mes,bloque,n_estaciones,total_viajes
0. Matrices Biotren may_2026.xlsx,Ene 2023,2023,1,T. Monedero,27,428499.0
0. Matrices Biotren may_2026.xlsx,Ene 2023,2023,1,T. Estudiante,27,69115.0
0. Matrices Biotren may_2026.xlsx,Ene 2023,2023,1,T. Tercera Edad,27,24638.0
0. Matrices Biotren may_2026.xlsx,Ene 2023,2023,1,Total Mes Tarjetas,27,522252.0
0. Matrices Biotren may_2026.xlsx,Feb 2023,2023,2,T. Monedero,27,336933.0
0. Matrices Biotren may_2026.xlsx,Feb 2023,2023,2,T. Estudiante,27,49449.0
0. Matrices Biotren may_2026.xlsx,Feb 2023,2023,2,T. Tercera Edad,27,19198.0
0. Matrices Biotren may_2026.xlsx,Feb 2023,2023,2,Total Mes Tarjetas,27,405580.0
0. Matrices Biotren may_2026.xlsx,Mar 2023,2023,3,T. Monedero,27,615856.0
0. Matrices Biotren may_2026.xlsx,Mar 2023,2023,3,T. Estudiante,27,150752.0
0. Matrices Biotren may_2026.xlsx,Mar 2023,2023,3,T. Tercera Edad,27,31006.0
0. Matrices Biotren may_2026.xlsx,Mar 2023,2023,3,Total Mes Tarjetas,27,797614.0
0. Matrices Biotren may_2026.xlsx,Abr 2023,2023,4,T. Monedero,27,589838.0
0. Matrices Biotren may_2026.xlsx,Abr 2023,2023,4,T. Estudiante,27,182626.0
0. Matrices Biotren may_2026.xlsx,Abr 2023,2023,4,T. Tercera Edad,27,29740.0
0. Matrices Biotren may_2026.xlsx,Abr 2023,2023,4,Total Mes Tarjetas,27,802204.0
0. Matrices Biotren may_2026.xlsx,May 2023,2023,5,T. Monedero,27,732107.0
0. Matrices Biotren may_2026.xlsx,May 2023,2023,5,T. Estudiante,27,218973.0
0. Matrices Biotren may_2026.xlsx,May 2023,2023,5,T. Tercera Edad,27,38526.0
0. Matrices Biotren may_2026.xlsx,May 2023,2023,5,Total Mes Tarjetas,27,989606.0
0. Matrices Biotren may_2026.xlsx,Jun 2023,2023,6,T. Monedero,27,382059.0
0. Matrices Biotren may_2026.xlsx,Jun 2023,2023,6,T. Estudiante,27,100062.0
0. Matrices Biotren may_2026.xlsx,Jun 2023,2023,6,T. Tercera Edad,27,18129.0
0. Matrices Biotren may_2026.xlsx,Jun 2023,2023,6,Total Mes Tarjetas,27,854136.0
0. Matrices Biotren may_2026.xlsx,Jul 2023,2023,7,T. Monedero,27,645947.0
0. Matrices Biotren may_2026.xlsx,Jul 2023,2023,7,T. Estudiante,27,129568.0
0. Matrices Biotren may_2026.xlsx,Jul 2023,2023,7,T. Tercera Edad,27,38038.0
0. Matrices Biotren may_2026.xlsx,Jul 2023,2023,7,Total Mes Tarjetas,27,813553.0
0. Matrices Biotren may_2026.xlsx,Ago 2023,2023,8,T. Monedero,27,681617.0
0. Matrices Biotren may_2026.xlsx,Ago 2023,2023,8,T. Estudiante,27,181752.0
0. Matrices Biotren may_2026.xlsx,Ago 2023,2023,8,T. Tercera Edad,27,41506.0
0. Matrices Biotren may_2026.xlsx,Ago 2023,2023,8,Total Mes Tarjetas,27,904875.0
0. Matrices Biotren may_2026.xlsx,Sep 2023,2023,9,T. Monedero,27,538349.0
0. Matrices Biotren may_2026.xlsx,Sep 2023,2023,9,T. Estudiante,27,162828.0
0. Matrices Biotren may_2026.xlsx,Sep 2023,2023,9,T. Tercera Edad,27,33716.0
0. Matrices Biotren may_2026.xlsx,Sep 2023,2023,9,Total Mes Tarjetas,27,734893.0
0. Matrices Biotren may_2026.xlsx,Oct 2023,2023,10,T. Monedero,27,660255.0
0. Matrices Biotren may_2026.xlsx,Oct 2023,2023,10,T. Estudiante,27,204228.0
0. Matrices Biotren may_2026.xlsx,Oct 2023,2023,10,T. Tercera Edad,27,43602.0
0. Matrices Biotren may_2026.xlsx,Oct 2023,2023,10,Total Mes Tarjetas,27,908085.0
0. Matrices Biotren may_2026.xlsx,Nov 2023,2023,11,T. Monedero,27,716193.0
0. Matrices Biotren may_2026.xlsx,Nov 2023,2023,11,T. Estudiante,27,203940.0
0. Matrices Biotren may_2026.xlsx,Nov 2023,2023,11,T. Tercera Edad,27,46554.0
0. Matrices Biotren may_2026.xlsx,Nov 2023,2023,11,Total Mes Tarjetas,27,966687.0
0. Matrices Biotren may_2026.xlsx,Dic 2023,2023,12,T. Monedero,27,694652.0
0. Matrices Biotren may_2026.xlsx,Dic 2023,2023,12,T. Estudiante,27,133611.0
0. Matrices Biotren may_2026.xlsx,Dic 2023,2023,12,T. Tercera Edad,27,46971.0
0. Matrices Biotren may_2026.xlsx,Dic 2023,2023,12,Total Mes Tarjetas,27,875234.0
0. Matrices Biotren may_2026.xlsx,Ene 2024,2024,1,T. Monedero,27,651799.0
0. Matrices Biotren may_2026.xlsx,Ene 2024,2024,1,T. Estudiante,27,99436.0
0. Matrices Biotren may_2026.xlsx,Ene 2024,2024,1,T. Tercera Edad,27,43970.0
0. Matrices Biotren may_2026.xlsx,Ene 2024,2024,1,Total Mes Tarjetas,27,795205.0
0. Matrices Biotren may_2026.xlsx,Feb 2024,2024,2,T. Monedero,27,643436.6274162391
0. Matrices Biotren may_2026.xlsx,Feb 2024,2024,2,T. Estudiante,27,95218.11597947658
0. Matrices Biotren may_2026.xlsx,Feb 2024,2024,2,T. Tercera Edad,27,44135.256604284325
0. Matrices Biotren may_2026.xlsx,Feb 2024,2024,2,Total Mes Tarjetas,27,782790.0
0. Matrices Biotren may_2026.xlsx,Mar 2024,2024,3,T. Monedero,27,833270.5219203916
0. Matrices Biotren may_2026.xlsx,Mar 2024,2024,3,T. Estudiante,27,220580.548621608
0. Matrices Biotren may_2026.xlsx,Mar 2024,2024,3,T. Tercera Edad,27,53541.929458000435
0. Matrices Biotren may_2026.xlsx,Mar 2024,2024,3,Total Mes Tarjetas,27,1107393.0
0. Matrices Biotren may_2026.xlsx,Abr 2024,2024,4,T. Monedero,27,848073.2381761541
0. Matrices Biotren may_2026.xlsx,Abr 2024,2024,4,T. Estudiante,27,264406.1093174738
0. Matrices Biotren may_2026.xlsx,Abr 2024,2024,4,T. Tercera Edad,27,53132.652506372135
0. Matrices Biotren may_2026.xlsx,Abr 2024,2024,4,Total Mes Tarjetas,27,1165612.0
0. Matrices Biotren may_2026.xlsx,May 2024,2024,5,T. Monedero,27,772700.0
0. Matrices Biotren may_2026.xlsx,May 2024,2024,5,T. Estudiante,27,236870.0
0. Matrices Biotren may_2026.xlsx,May 2024,2024,5,T. Tercera Edad,27,53969.0
0. Matrices Biotren may_2026.xlsx,May 2024,2024,5,Total Mes Tarjetas,27,1063539.0
0. Matrices Biotren may_2026.xlsx,Jun 2024,2024,6,T. Monedero,27,533035.0
0. Matrices Biotren may_2026.xlsx,Jun 2024,2024,6,T. Estudiante,27,154748.0
0. Matrices Biotren may_2026.xlsx,Jun 2024,2024,6,T. Tercera Edad,27,36835.0
0. Matrices Biotren may_2026.xlsx,Jun 2024,2024,6,Total Mes Tarjetas,27,724618.0
0. Matrices Biotren may_2026.xlsx,Jul 2024,2024,7,T. Monedero,27,758073.0
0. Matrices Biotren may_2026.xlsx,Jul 2024,2024,7,T. Estudiante,27,163699.0
0. Matrices Biotren may_2026.xlsx,Jul 2024,2024,7,T. Tercera Edad,27,56473.0
0. Matrices Biotren may_2026.xlsx,Jul 2024,2024,7,Total Mes Tarjetas,27,978245.0
0. Matrices Biotren may_2026.xlsx,Agos 2024,2024,8,T. Monedero,27,666481.0
0. Matrices Biotren may_2026.xlsx,Agos 2024,2024,8,T. Estudiante,27,214037.0
0. Matrices Biotren may_2026.xlsx,Agos 2024,2024,8,T. Tercera Edad,27,50564.0
0. Matrices Biotren may_2026.xlsx,Agos 2024,2024,8,Total Mes Tarjetas,27,931082.0
0. Matrices Biotren may_2026.xlsx,Sept 2024,2024,9,T. Monedero,27,650069.0
0. Matrices Biotren may_2026.xlsx,Sept 2024,2024,9,T. Estudiante,27,212700.0
0. Matrices Biotren may_2026.xlsx,Sept 2024,2024,9,T. Tercera Edad,27,50256.0
0. Matrices Biotren may_2026.xlsx,Sept 2024,2024,9,Total Mes Tarjetas,27,913025.0
0. Matrices Biotren may_2026.xlsx,Oct 2024,2024,10,T. Monedero,27,804150.0
0. Matrices Biotren may_2026.xlsx,Oct 2024,2024,10,T. Estudiante,27,273168.0
0. Matrices Biotren may_2026.xlsx,Oct 2024,2024,10,T. Tercera Edad,27,63076.0
0. Matrices Biotren may_2026.xlsx,Oct 2024,2024,10,Total Mes Tarjetas,27,1140394.0
0. Matrices Biotren may_2026.xlsx,Nov 2024,2024,11,T. Monedero,27,758282.0
0. Matrices Biotren may_2026.xlsx,Nov 2024,2024,11,T. Estudiante,27,244676.0
0. Matrices Biotren may_2026.xlsx,Nov 2024,2024,11,T. Tercera Edad,27,61497.0
0. Matrices Biotren may_2026.xlsx,Nov 2024,2024,11,Total Mes Tarjetas,27,1064455.0
0. Matrices Biotren may_2026.xlsx,Dic 2024,2024,12,T. Monedero,27,757805.0
0. Matrices Biotren may_2026.xlsx,Dic 2024,2024,12,T. Estudiante,27,163999.0
0. Matrices Biotren may_2026.xlsx,Dic 2024,2024,12,T. Tercera Edad,27,63424.0
0. Matrices Biotren may_2026.xlsx,Dic 2024,2024,12,Total Mes Tarjetas,27,985228.0
0. Matrices Biotren may_2026.xlsx,Ene 2025,2025,1,T. Monedero,27,707898.0
0. Matrices Biotren may_2026.xlsx,Ene 2025,2025,1,T. Estudiante,27,126217.0
0. Matrices Biotren may_2026.xlsx,Ene 2025,2025,1,T. Tercera Edad,27,60301.0
0. Matrices Biotren may_2026.xlsx,Ene 2025,2025,1,Total Mes Tarjetas,27,894416.0
0. Matrices Biotren may_2026.xlsx,Feb 2025,2025,2,T. Monedero,27,585421.0
0. Matrices Biotren may_2026.xlsx,Feb 2025,2025,2,T. Estudiante,27,97995.0
0. Matrices Biotren may_2026.xlsx,Feb 2025,2025,2,T. Tercera Edad,27,50688.0
0. Matrices Biotren may_2026.xlsx,Feb 2025,2025,2,Total Mes Tarjetas,27,734104.0
0. Matrices Biotren may_2026.xlsx,Mar 2025,2025,3,T. Monedero,27,802733.0
0. Matrices Biotren may_2026.xlsx,Mar 2025,2025,3,T. Estudiante,27,227323.0
0. Matrices Biotren may_2026.xlsx,Mar 2025,2025,3,T. Tercera Edad,27,67327.0
0. Matrices Biotren may_2026.xlsx,Mar 2025,2025,3,Total Mes Tarjetas,27,1097383.0
0. Matrices Biotren may_2026.xlsx,Abril 2025,2025,4,T. Monedero,27,719195.0
0. Matrices Biotren may_2026.xlsx,Abril 2025,2025,4,T. Estudiante,27,224022.0
0. Matrices Biotren may_2026.xlsx,Abril 2025,2025,4,T. Tercera Edad,27,63091.0
0. Matrices Biotren may_2026.xlsx,Abril 2025,2025,4,Total Mes Tarjetas,27,1006308.0
0. Matrices Biotren may_2026.xlsx,Mayo 2025,2025,5,T. Monedero,27,680825.0
0. Matrices Biotren may_2026.xlsx,Mayo 2025,2025,5,T. Estudiante,27,225817.0
0. Matrices Biotren may_2026.xlsx,Mayo 2025,2025,5,T. Tercera Edad,27,60998.0
0. Matrices Biotren may_2026.xlsx,Mayo 2025,2025,5,Total Mes Tarjetas,27,967640.0
0. Matrices Biotren may_2026.xlsx,Junio 2025,2025,6,T. Monedero,27,631630.0
0. Matrices Biotren may_2026.xlsx,Junio 2025,2025,6,T. Estudiante,27,229492.0
0. Matrices Biotren may_2026.xlsx,Junio 2025,2025,6,T. Tercera Edad,27,57710.0
0. Matrices Biotren may_2026.xlsx,Junio 2025,2025,6,Total Mes Tarjetas,27,918832.0
0. Matrices Biotren may_2026.xlsx,Julio 2025,2025,7,T. Monedero,27,612148.0
0. Matrices Biotren may_2026.xlsx,Julio 2025,2025,7,T. Estudiante,27,149540.0
0. Matrices Biotren may_2026.xlsx,Julio 2025,2025,7,T. Tercera Edad,27,58040.0
0. Matrices Biotren may_2026.xlsx,Julio 2025,2025,7,Total Mes Tarjetas,27,819728.0
0. Matrices Biotren may_2026.xlsx,Agosto 2025,2025,8,T. Monedero,27,678041.0
0. Matrices Biotren may_2026.xlsx,Agosto 2025,2025,8,T. Estudiante,27,236664.0
0. Matrices Biotren may_2026.xlsx,Agosto 2025,2025,8,T. Tercera Edad,27,62786.0
0. Matrices Biotren may_2026.xlsx,Agosto 2025,2025,8,Total Mes Tarjetas,27,977491.0
0. Matrices Biotren may_2026.xlsx,Septiembre 2025,2025,9,T. Monedero,27,640044.0
0. Matrices Biotren may_2026.xlsx,Septiembre 2025,2025,9,T. Estudiante,27,227967.0
0. Matrices Biotren may_2026.xlsx,Septiembre 2025,2025,9,T. Tercera Edad,27,59636.0
0. Matrices Biotren may_2026.xlsx,Septiembre 2025,2025,9,Total Mes Tarjetas,27,927647.0
0. Matrices Biotren may_2026.xlsx,Octubre 2025,2025,10,T. Monedero,27,689568.0
0. Matrices Biotren may_2026.xlsx,Octubre 2025,2025,10,T. Estudiante,27,251816.0
0. Matrices Biotren may_2026.xlsx,Octubre 2025,2025,10,T. Tercera Edad,27,68347.0
0. Matrices Biotren may_2026.xlsx,Octubre 2025,2025,10,Total Mes Tarjetas,27,1009731.0
0. Matrices Biotren may_2026.xlsx,Noviembre 2025,2025,11,T. Monedero,27,646001.0
0. Matrices Biotren may_2026.xlsx,Noviembre 2025,2025,11,T. Estudiante,27,227448.0
0. Matrices Biotren may_2026.xlsx,Noviembre 2025,2025,11,T. Tercera Edad,27,62944.0
0. Matrices Biotren may_2026.xlsx,Noviembre 2025,2025,11,Total Mes Tarjetas,27,936393.0
0. Matrices Biotren may_2026.xlsx,Diciembre 2025,2025,12,T. Monedero,27,674736.0
0. Matrices Biotren may_2026.xlsx,Diciembre 2025,2025,12,T. Estudiante,27,161595.0
0. Matrices Biotren may_2026.xlsx,Diciembre 2025,2025,12,T. Tercera Edad,27,65377.0
0. Matrices Biotren may_2026.xlsx,Diciembre 2025,2025,12,Total Mes Tarjetas,27,901708.0
0. Matrices Biotren may_2026.xlsx,Enero 2026,2026,1,T. Monedero,27,605048.0
0. Matrices Biotren may_2026.xlsx,Enero 2026,2026,1,T. Estudiante,27,117105.0
0. Matrices Biotren may_2026.xlsx,Enero 2026,2026,1,T. Tercera Edad,27,58410.0
0. Matrices Biotren may_2026.xlsx,Enero 2026,2026,1,Total Mes Tarjetas,27,780563.0
0. Matrices Biotren may_2026.xlsx,Febrero 2026,2026,2,T. Monedero,27,586792.0
0. Matrices Biotren may_2026.xlsx,Febrero 2026,2026,2,T. Estudiante,27,103961.0
0. Matrices Biotren may_2026.xlsx,Febrero 2026,2026,2,T. Tercera Edad,27,54708.0
0. Matrices Biotren may_2026.xlsx,Febrero 2026,2026,2,Total Mes Tarjetas,27,745461.0
0. Matrices Biotren may_2026.xlsx,Marzo 2026,2026,3,T. Monedero,27,832076.0
0. Matrices Biotren may_2026.xlsx,Marzo 2026,2026,3,T. Estudiante,27,261701.0
0. Matrices Biotren may_2026.xlsx,Marzo 2026,2026,3,T. Tercera Edad,27,74787.0
0. Matrices Biotren may_2026.xlsx,Marzo 2026,2026,3,Total Mes Tarjetas,27,1168564.0
0. Matrices Biotren may_2026.xlsx,Abril 2026,2026,4,T. Monedero,27,787493.0
0. Matrices Biotren may_2026.xlsx,Abril 2026,2026,4,T. Estudiante,27,295411.0
0. Matrices Biotren may_2026.xlsx,Abril 2026,2026,4,T. Tercera Edad,27,73516.0
0. Matrices Biotren may_2026.xlsx,Abril 2026,2026,4,Total Mes Tarjetas,27,1156420.0
0. Matrices Biotren may_2026.xlsx,Mayo 2026,2026,5,T. Monedero,27,714127.0
0. Matrices Biotren may_2026.xlsx,Mayo 2026,2026,5,T. Estudiante,27,256221.0
0. Matrices Biotren may_2026.xlsx,Mayo 2026,2026,5,T. Tercera Edad,27,68195.0
0. Matrices Biotren may_2026.xlsx,Mayo 2026,2026,5,Total Mes Tarjetas,27,1038543.0
