servicio,anio,mes,afluencia_mensual_normalizada,meses_observados_anio,participacion_sobre_periodo_observado,indice_mensual_vs_media_observada,cobertura
BIOTREN,2023,5,1091317.0,1,1.0,1.0,1.0
BIOTREN,2024,1,851584.0,12,0.07249345920668056,0.8699215104801666,1.0
BIOTREN,2024,2,777431.0,12,0.06618097860517444,0.7941717432620933,1.0
BIOTREN,2024,3,1110460.0,12,0.09453099953809664,1.1343719944571597,1.0
BIOTREN,2024,4,1174078.0,12,0.09994665893025362,1.1993599071630434,1.0
BIOTREN,2024,5,1073876.0,12,0.09141668467119309,1.097000216054317,1.0
BIOTREN,2024,6,727436.0,12,0.06192501502079757,0.7431001802495708,1.0
BIOTREN,2024,7,983798.0,12,0.08374854410206617,1.004982529224794,1.0
BIOTREN,2024,8,934030.0,12,0.07951190452476307,0.954142854297157,1.0
BIOTREN,2024,9,919690.0,12,0.07829117209552086,0.9394940651462503,1.0
BIOTREN,2024,10,1143390.0,12,0.0973342574805615,1.168011089766738,1.0
BIOTREN,2024,11,1067007.0,12,0.09083194191969624,1.0899833030363548,1.0
BIOTREN,2024,12,984266.0,12,0.08378838390519625,1.005460606862355,1.0
BIOTREN,2025,1,887658.0,12,0.07963158712984295,0.9555790455581153,1.0
BIOTREN,2025,2,725419.0,12,0.06507716519666756,0.7809259823600108,1.0
BIOTREN,2025,3,1087695.0,12,0.09757685861355897,1.1709223033627076,1.0
BIOTREN,2025,4,999862.0,12,0.08969738116574066,1.0763685739888877,1.0
BIOTREN,2025,5,968139.0,12,0.08685151841396013,1.0422182209675215,1.0
BIOTREN,2025,6,916854.0,12,0.08225075331529151,0.987009039783498,1.0
BIOTREN,2025,7,812580.0,12,0.07289635768501808,0.874756292220217,1.0
BIOTREN,2025,8,976165.0,12,0.08757152895665125,1.050858347479815,1.0
BIOTREN,2025,9,927456.0,12,0.08320185620260914,0.9984222744313096,1.0
BIOTREN,2025,10,1008880.0,12,0.09050638379145566,1.086076605497468,1.0
BIOTREN,2025,11,939912.0,12,0.08431928098702986,1.0118313718443581,1.0
BIOTREN,2025,12,896439.0,12,0.08041932854217422,0.9650319425060906,1.0
BIOTREN,2026,1,774269.0,5,0.1585924911037787,0.7929624555188934,1.0
BIOTREN,2026,2,740617.0,5,0.15169959663089608,0.7584979831544804,1.0
BIOTREN,2026,3,1168630.0,5,0.23936893105446416,1.1968446552723206,1.0
BIOTREN,2026,4,1159191.0,5,0.237435553218688,1.18717776609344,1.0
BIOTREN,2026,5,1039422.0,5,0.2129034279921731,1.0645171399608653,1.0
CORTO_LAJA,2024,1,73194.0,12,0.12144572076145409,1.457348649137449,1.0
CORTO_LAJA,2024,2,73556.0,12,0.1220463622199841,1.4645563466398093,1.0
CORTO_LAJA,2024,3,54246.0,12,0.09000662032988822,1.0800794439586585,1.0
CORTO_LAJA,2024,4,45371.0,12,0.07528094921261215,0.9033713905513456,1.0
CORTO_LAJA,2024,5,43774.0,12,0.07263115802677667,0.8715738963213199,1.0
CORTO_LAJA,2024,6,32281.0,12,0.0535616213337227,0.6427394560046724,1.0
CORTO_LAJA,2024,7,43469.0,12,0.0721250927095069,0.8655011125140827,1.0
CORTO_LAJA,2024,8,39348.0,12,0.06528740361944552,0.7834488434333462,1.0
CORTO_LAJA,2024,9,43640.0,12,0.07240882113328764,0.8689058535994517,1.0
CORTO_LAJA,2024,10,50284.0,12,0.0834327488970265,1.001192986764318,1.0
CORTO_LAJA,2024,11,50570.0,12,0.08390728883387617,1.0068874660065141,1.0
CORTO_LAJA,2024,12,52956.0,12,0.08786621292241936,1.0543945550690323,1.0
CORTO_LAJA,2025,1,68173.0,12,0.12922483804221022,1.5506980565065225,1.0
CORTO_LAJA,2025,2,69269.0,12,0.13130235293071832,1.5756282351686197,1.0
CORTO_LAJA,2025,3,45684.0,12,0.08659669542836913,1.0391603451404297,0.9354838709677419
CORTO_LAJA,2025,4,38563.0,12,0.0730978162824249,0.8771737953890988,1.0
CORTO_LAJA,2025,5,33502.0,12,0.06350447426532684,0.7620536911839221,1.0
CORTO_LAJA,2025,6,34068.0,12,0.06457735147964762,0.7749282177557715,1.0
CORTO_LAJA,2025,7,34081.0,12,0.06460199353580694,0.7752239224296832,1.0
CORTO_LAJA,2025,8,37156.0,12,0.07043078758887482,0.8451694510664978,1.0
CORTO_LAJA,2025,9,36755.0,12,0.06967067493349913,0.8360480992019896,1.0
CORTO_LAJA,2025,10,41850.0,12,0.07932846540516769,0.9519415848620124,1.0
CORTO_LAJA,2025,11,43948.0,12,0.08330531416072424,0.999663769928691,1.0
CORTO_LAJA,2025,12,44504.0,12,0.08435923594723019,1.0123108313667621,1.0
CORTO_LAJA,2026,1,47831.0,5,0.21586919042847988,1.0793459521423994,1.0
CORTO_LAJA,2026,2,55341.0,5,0.249763058842644,1.2488152942132198,1.0
CORTO_LAJA,2026,3,39187.0,5,0.176857393015426,0.8842869650771299,1.0
CORTO_LAJA,2026,4,40219.0,5,0.1815149791943098,0.907574895971549,1.0
CORTO_LAJA,2026,5,38996.0,5,0.17599537851914032,0.8799768925957016,1.0
LLANQUIHUE_PM,2025,5,26154.0,8,0.1141636212383127,0.9133089699065016,0.9090909090909091
LLANQUIHUE_PM,2025,6,24487.0,8,0.10688892930394381,0.8551114344315505,0.9523809523809523
LLANQUIHUE_PM,2025,7,30553.0,8,0.13336931906099983,1.0669545524879986,0.9565217391304348
LLANQUIHUE_PM,2025,8,21130.0,8,0.0922358738181281,0.7378869905450248,0.9523809523809523
LLANQUIHUE_PM,2025,9,26596.0,8,0.1160938776202862,0.9287510209622896,0.9090909090909091
LLANQUIHUE_PM,2025,10,33321.0,8,0.1454489969927181,1.1635919759417448,0.9565217391304348
LLANQUIHUE_PM,2025,11,31210.0,8,0.13623541764222666,1.0898833411378133,1.0
LLANQUIHUE_PM,2025,12,35638.0,8,0.15556396432338462,1.244511714587077,0.9130434782608695
LLANQUIHUE_PM,2026,1,65360.0,5,0.28423295342458255,1.4211647671229126,0.9545454545454546
LLANQUIHUE_PM,2026,2,64937.0,5,0.28239385237430725,1.4119692618715363,1.0
LLANQUIHUE_PM,2026,3,33919.0,5,0.14750476736966794,0.7375238368483398,1.0
LLANQUIHUE_PM,2026,4,32673.0,5,0.14208686389276762,0.7104343194638381,0.9545454545454546
LLANQUIHUE_PM,2026,5,33063.0,5,0.14378156293867464,0.7189078146933732,0.9047619047619048
TREN_ARAUCANIA,2024,8,60202.0,5,0.20365415126061792,1.0182707563030895,1.0
TREN_ARAUCANIA,2024,9,53711.0,5,0.18169609179693447,0.9084804589846722,1.0
TREN_ARAUCANIA,2024,10,67778.0,5,0.22928259965021364,1.146412998251068,1.0
TREN_ARAUCANIA,2024,11,65914.0,5,0.22297697296090443,1.1148848648045222,1.0
TREN_ARAUCANIA,2024,12,48004.0,5,0.16239018433132957,0.8119509216566477,1.0
TREN_ARAUCANIA,2025,1,43340.0,12,0.07018191593067957,0.8421829911681549,1.0
TREN_ARAUCANIA,2025,2,42891.0,12,0.06945483516803824,0.8334580220164589,1.0
TREN_ARAUCANIA,2025,3,63167.0,12,0.10228844216874103,1.2274613060248925,1.0
TREN_ARAUCANIA,2025,4,62698.0,12,0.101528974735158,1.218347696821896,1.0
TREN_ARAUCANIA,2025,5,59389.0,12,0.09617060002785253,1.1540472003342304,1.0
TREN_ARAUCANIA,2025,6,46222.0,12,0.07484883521337958,0.898186022560555,1.0
TREN_ARAUCANIA,2025,7,55987.0,12,0.09066162730066814,1.0879395276080177,1.0
TREN_ARAUCANIA,2025,8,51601.0,12,0.08355923036315174,1.0027107643578208,1.0
TREN_ARAUCANIA,2025,9,44714.0,12,0.07240688022437486,0.8688825626924983,1.0
TREN_ARAUCANIA,2025,10,52922.0,12,0.08569836997885151,1.028380439746218,1.0
TREN_ARAUCANIA,2025,11,50758.0,12,0.08219413218295878,0.9863295861955054,1.0
TREN_ARAUCANIA,2025,12,43849.0,12,0.07100615670614602,0.8520738804737522,1.0
TREN_ARAUCANIA,2026,1,39424.0,5,0.126601401615558,0.63300700807779,1.0
TREN_ARAUCANIA,2026,2,44060.0,5,0.14148745657193282,0.7074372828596641,0.9642857142857143
TREN_ARAUCANIA,2026,3,72866.0,5,0.23399294161219686,1.1699647080609843,1.0
TREN_ARAUCANIA,2026,4,80682.0,5,0.2590922860477488,1.2954614302387442,1.0
TREN_ARAUCANIA,2026,5,74371.0,5,0.23882591415256352,1.1941295707628174,1.0
